#字頭	聲母	韻母	陰陽	四聲	小韻	釋義
憧	穿	東	陰	平	充	意不定也
罿	穿	東	陰	平	充	掩兔之車
沖	穿	東	陰	平	充	搖也
風	非	東	陰	平	風	風雨又風化
楓	非	東	陰	平	風	木名
瘋	非	東	陰	平	風	大疾
封	非	東	陰	平	風	穢也培也又封贈
葑	非	東	陰	平	風	葑菲菜名
豐	非	東	陰	平	風	大也盛也又豐熟
豊	非	東	陰	平	風	同上【豐】（大也盛也又豐熟）
鄷	非	東	陰	平	風	鄷都山又地名
峯	非	東	陰	平	風	山之尖頂
蜂	非	東	陰	平	風	蜜蜂
丰	非	東	陰	平	風	丰采又面丰滿也
烽	非	東	陰	平	風	烽火置薪火於高處賊至則焚之以相告曰烽火
鋒	非	東	陰	平	風	刀劍之芒
渢	非	東	陰	平	風	水名
蠭	非	東	陰	平	風	同蜂字
雍	以	東	陰	平	雍	雍熙和也又學宮
壅	以	東	陰	平	雍	美玉
饔	以	東	陰	平	雍	饔飧熟食也
雝	以	東	陰	平	雍	和也
邕	以	東	陰	平	雍	同上【雝】（和也）
癰	以	東	陰	平	雍	癰疽瘡名
灉	以	東	陰	平	雍	水名
翁	以	東	陰	平	雍	長老之稱
廱	以	東	陰	平	雍	辟廱天子之學
聰	清	東	陰	平	聰	察也明也耳力也
聰	清	東	陰	平	聰	同上【聰】（察也明也耳力也）
怱	清	東	陰	平	聰	怱忙急遽也
匆	清	東	陰	平	聰	匆匆喜色
騘	清	東	陰	平	聰	鐵色馬
𤧚	清	東	陰	平	聰	石似玉
嵩	心	東	陰	平	嵩	高山也
崧	心	東	陰	平	嵩	同上【嵩】（高山也）
鬆	心	東	陰	平	嵩	髮之髼鬆
從	心	東	陰	平	嵩	從容徐緩也
懵	明	東	陰	平	懵	無知貌心亂也
夢	明	東	陰	平	懵	同上【懵】（無知貌心亂也）
夣	明	東	陰	平	懵	同上【懵】（無知貌心亂也）
通	透	東	陰	平	通	達也徹也
蓪	透	東	陰	平	通	草名即紙蓪也
洪	曉	東	陽	平	洪	大也又姓
烘	曉	東	陽	平	洪	燎也
紅	曉	東	陽	平	洪	朱色
虹	曉	東	陽	平	洪	虹霓
訌	曉	東	陽	平	洪	以言潰亂曰訌
黌	曉	東	陽	平	洪	學宮曰黌宮
雄	曉	東	陽	平	洪	英雄雌雄
熊	曉	東	陽	平	洪	熊羆獸名
鴻	曉	東	陽	平	洪	鴻雁
逢	非	東	陽	平	逢	遇也迎也
縫	非	東	陽	平	逢	裁縫漏縫
馮	非	東	陽	平	逢	姓又音朋
蓬	滂	東	陽	平	蓬	蓬萊仙境
篷	滂	東	陽	平	蓬	雨篷
髼	滂	東	陽	平	蓬	髼鬆言髮之亂
芃	滂	東	陽	平	蓬	芃芃長大貌
庸	以	東	陽	平	庸	平常也又用也
傭	以	東	陽	平	庸	傭工
墉	以	東	陽	平	庸	牆也城也
鏞	以	東	陽	平	庸	大鐘也
鄘	以	東	陽	平	庸	地名
容	以	東	陽	平	庸	包容容受又容貌
鎔	以	東	陽	平	庸	鎔鑄以火燒紅銅鐵也
熔	以	東	陽	平	庸	同上【鎔】（鎔鑄以火燒紅銅鐵也）
榕	以	東	陽	平	庸	木名
溶	以	東	陽	平	庸	水深貌
蓉	以	東	陽	平	庸	芙蓉花
戎	以	東	陽	平	庸	兵也又戎狄
絨	以	東	陽	平	庸	線絨
娀	以	東	陽	平	庸	有娀氏契之母家也
喁	以	東	陽	平	庸	魚口向上也
顒	以	東	陽	平	庸	敬也溫也
融	以	東	陽	平	庸	通也會也和也
茸	以	東	陽	平	庸	草亂貌又闒茸𤟹賤也
肜	以	東	陽	平	庸	南書高宗肜日祭之明日也
慵	以	東	陽	平	庸	懶惰也
同	透	東	陽	平	同	合也齊也共也通也
仝	透	東	陽	平	同	同上【同】（合也齊也共也通也）
侗	透	東	陽	平	同	無知貌
桐	透	東	陽	平	同	梧桐木名
銅	透	東	陽	平	同	銅錫
筒	透	東	陽	平	同	竹筒
鮦	透	東	陽	平	同	魚名
峒	透	東	陽	平	同	崆峒山名
童	透	東	陽	平	同	小孩子也
僮	透	東	陽	平	同	奴僕也又竦敬
瞳	透	東	陽	平	同	目眸子也
艟	透	東	陽	平	同	艨艟戰船也
橦	透	東	陽	平	同	木名
潼	透	東	陽	平	同	水名
彤	透	東	陽	平	同	赤色
佟	透	東	陽	平	同	姓
鼕	透	東	陽	平	同	鼓聲
筩	透	東	陽	平	同	與筒同
曈	透	東	陽	平	同	日欲出也
穜	透	東	陽	平	同	禾名先種後熟曰穜
罿	透	東	陽	平	同	魚網
𩻡	透	東	陽	平	同	魚名
龍	來	東	陽	平	龍	鱗蟲之長
瓏	來	東	陽	平	龍	玲瓏玉名
櫳	來	東	陽	平	龍	養獸檻
嚨	來	東	陽	平	龍	喉嚨
攏	來	東	陽	平	龍	馬攏頭
籠	來	東	陽	平	龍	燈籠
礱	來	東	陽	平	龍	磨礱切也
聾	來	東	陽	平	龍	耳不聞也
曨	來	東	陽	平	龍	日出也
朧	來	東	陽	平	龍	月將出也
蘢	來	東	陽	平	龍	草名又蒙蘢蔽覆貌
襱	來	東	陽	平	龍	絝襱
隆	來	東	陽	平	龍	興隆郅隆盛隆豐隆
癃	來	東	陽	平	龍	罷病
蒙	明	東	陽	平	蒙	覆被也蔽也承也又姓
朦	明	東	陽	平	蒙	目不明也
幪	明	東	陽	平	蒙	帡幪蓋也覆也
濛	明	東	陽	平	蒙	細雨
艨	明	東	陽	平	蒙	舟名
饛	明	東	陽	平	蒙	食之滿簋
矇	明	東	陽	平	蒙	日始出也
靀	明	東	陽	平	蒙	靀霧
朦	明	東	陽	平	蒙	月不光也
從	清	東	陽	平	從	隨也順也就也
松	清	東	陽	平	從	木名
淞	清	東	陽	平	從	水名
叢	清	東	陽	平	從	聚也又林木茂盛也
䕺	清	東	陽	平	從	草徑盛也
潀	清	東	陽	平	從	會也小水入大水也
菆	清	東	陽	平	從	亦水會也
樷	清	東	陽	平	從	古文叢字
農	泥	東	陽	平	農	耕農
濃	泥	東	陽	平	農	厚也
儂	泥	東	陽	平	農	吳人謂我爲儂又渠儂他也又姓
穠	泥	東	陽	平	農	花木茂盛貌
醲	泥	東	陽	平	農	酒味之厚
膿	泥	東	陽	平	農	血白爲膿
窮	溪	東	陽	平	窮	極也又貧乏也
穷	溪	東	陽	平	窮	同上【窮】（極也又貧乏也）
穹	溪	東	陽	平	窮	天曰穹蒼
蛩	溪	東	陽	平	窮	獸名又蟬蜕
邛	溪	東	陽	平	窮	地名
笻	溪	東	陽	平	窮	竹名可爲杖
銎	溪	東	陽	平	窮	斧柄穿孔
虫	穿	東	陽	平	虫	蟲蟻
蟲	穿	東	陽	平	虫	同上【虫】（蟲蟻）
重	穿	東	陽	平	虫	復也曡也
崇	心	東	陽	平	崇	高也又尊崇
濃	日	東	陽	平	濃	厚也淡之對也
董	端	東	陰	上	董	督治也又姓
懂	端	東	陰	上	董	懵懂心亂也
畽	端	東	陰	上	董	町畽屋旁隙地也
挏	端	東	陰	上	董	督起也
俑	以	東	陰	上	俑	從葬木偶人也
埇	以	東	陰	上	俑	埇道
踊	以	東	陰	上	俑	跳也又刖足者之屨
蛹	以	東	陰	上	俑	繭蟲蠶化爲蛹也
甬	以	東	陰	上	俑	甬道又鐘鼻
擁	以	東	陰	上	俑	護也抱也又群從也
臃	以	東	陰	上	俑	腫脹也
壅	以	東	陰	上	俑	塞也障也
宂	以	東	陰	上	俑	煩也雜也
湧	以	東	陰	上	俑	泉溢出也
總	精	東	陰	上	總	統也括也合也
搃	精	東	陰	上	總	同上【總】（統也括也合也）
粽	精	東	陰	上	總	角黍也
糉	精	東	陰	上	總	同上【粽】（角黍也）
俸	非	東	陰	上	俸	俸祿
捧	非	東	陰	上	俸	兩手持物也
唪	非	東	陰	上	俸	瓜瓞之多實也
菶	非	東	陰	上	俸	草盛貌
琫	非	東	陰	上	俸	刀上飾也
諷	非	東	陰	上	俸	譏諷又諷諫
風	非	東	陰	上	俸	同上【諷】（譏諷又諷諫）
拱	見	東	陰	上	拱	兩手合持曰拱
鞏	見	東	陰	上	拱	同也以皮束物
礦	見	東	陰	上	拱	銀礦
鑛	見	東	陰	上	拱	鐵鑛
統	透	東	陰	上	統	統緒總統括攝也
桶	透	東	陰	上	統	木桶
捅	透	東	陰	上	統	進前也
冢	穿	東	陰	上	冢	大也長子長婦俱曰冢
塚	穿	東	陰	上	冢	墓封曰塚
寵	穿	東	陰	上	冢	愛也恩也尊榮也
孔	曉	東	陰	上	孔	竅也穴也又姓
恐	曉	東	陰	上	孔	惶恐懼也
腫	照	東	陰	上	腫	脹也
瘇	照	東	陰	上	腫	同上【腫】（脹也）
種	照	東	陰	上	腫	種蒔
尰	照	東	陰	上	腫	足腫
踵	照	東	陰	上	腫	足跟又繼也躡也
竦	心	東	陰	上	竦	立也敬也
悚	心	東	陰	上	竦	懼也怖也
聳	心	東	陰	上	竦	聳洞驚也高也
㩳	心	東	陰	上	竦	挺也
壟	來	東	陽	上	壟	田中高土山壟也
壠	來	東	陽	上	壟	同上【壟】（田中高土山壟也）
隴	來	東	陽	上	壟	隴西地名
槓	來	東	陽	上	壟	衣箱
勇	以	東	陽	上	勇	強壯也
凍	端	東	陰	去	凍	寒冷也
棟	端	東	陰	去	凍	柱樑也
蝀	端	東	陰	去	凍	螮蝀虹也
甕	亞	東	陰	去	甕	大釭也瓦器
瓮	亞	東	陰	去	甕	同上【甕】（大釭也瓦器）
齆	亞	東	陰	去	甕	鼻塞曰齆
銃	穿	東	陰	去	銃	火炮
宋	心	東	陰	去	宋	國名又姓
送	心	東	陰	去	宋	餽也餞也隨人尾也
衆	照	東	陰	去	衆	多也
众	照	東	陰	去	衆	同上【衆】（多也）
中	照	東	陰	去	衆	合式曰中
種	照	東	陰	去	衆	栽植
閧	曉	東	陰	去	閧	鬪聲
哄	曉	東	陰	去	閧	衆聲唱聲又呵喝聲
控	曉	東	陰	去	閧	引也告訴也又控馭又稱吏爲提控也
鞚	曉	東	陰	去	閧	馬勒
倥	曉	東	陰	去	閧	困也
空	曉	東	陰	去	閧	匱乏也
縱	精	東	陰	去	縱	縱肆又故縱
綜	精	東	陰	去	縱	織機綜線
貢	見	東	陰	去	貢	貢獻貢稅
痛	透	東	陰	去	痛	隱痛傷痛痛楚疼痛
動	端	東	陽	去	動	作動搖動舉動
慟	端	東	陽	去	動	哀之過也
峒	端	東	陽	去	動	山曠處
洞	端	東	陽	去	動	洞府又水疾流貌
衕	端	東	陽	去	動	衚衕通街也
戙	端	東	陽	去	動	船板戙所繫也
奉	非	東	陽	去	奉	承業進也又奉侍奉養
鳳	非	東	陽	去	奉	鳳凰羽蟲之長
夢	明	東	陽	去	夢	夢寐又夢兆
夣	明	東	陽	去	夢	同上【夢】（夢寐又夢兆）
㝱	明	東	陽	去	夢	同上【夢】（夢寐又夢兆）
梦	明	東	陽	去	夢	同上【夣】（夢寐又夢兆）
訟	精	東	陽	去	訟	官訟爭辨也又爭財曰訟
誦	精	東	陽	去	訟	誦讀
頌	精	東	陽	去	訟	稱頌
從	精	東	陽	去	訟	隨從首從
仲	照	東	陽	去	仲	伯仲
重	照	東	陽	去	仲	厚也又慎重輕重
弄	來	東	陽	去	弄	戲弄舞弄玩弄
哢	來	東	陽	去	弄	鳥吟聲
用	以	東	陽	去	用	使用作用
共	見	東	陽	去	共	總也同也
篤	端	東	陰	入	篤	厚而力也又實也
督	端	東	陰	入	篤	董也率也責也又催速也又都督總督
宿	心	東	陰	入	宿	歇宿星宿
蹜	心	東	陰	入	宿	舉足促狹也
踧	心	東	陰	入	宿	踧踖行之恭敬
夙	心	東	陰	入	宿	早也
粟	心	東	陰	入	宿	粟米
肅	心	東	陰	入	宿	敬也嚴也戒也
粛	心	東	陰	入	宿	同上【肅】（敬也嚴也戒也）
蓿	心	東	陰	入	宿	苜蓿
郁	以	東	陰	入	郁	文盛貌
彧	以	東	陰	入	郁	文章貌又黍稷茂盛
昱	以	東	陰	入	郁	日光也
煜	以	東	陰	入	郁	燿也火光也盛也
沃	以	東	陰	入	郁	濡潤也
鋈	以	東	陰	入	郁	鎔白今鋈灌其車環以爲飾
澳	以	東	陰	入	郁	水之内曰澳外曰隈又音奧
隩	以	東	陰	入	郁	同上【澳】（水之内曰澳外曰隈又音奧）
毓	以	東	陰	入	郁	孕毓
薁	以	東	陰	入	郁	瓜菜之屬
竹	照	東	陰	入	竹	竹木
竺	照	東	陰	入	竹	天竺國
築	照	東	陰	入	竹	擣也築室築城
祝	照	東	陰	入	竹	禱祝又祝壽又祝融火神也
柷	照	東	陰	入	竹	柷圉樂器也
囑	照	東	陰	入	竹	囑括又吩咐也
矚	照	東	陰	入	竹	視之甚也
屬	照	東	陰	入	竹	合也又聚也
燭	照	東	陰	入	竹	火燭
粥	照	東	陰	入	竹	糜粥
筑	照	東	陰	入	竹	擊筑
畜	穿	東	陰	入	畜	畜養
蓄	穿	東	陰	入	畜	積也藏也
觸	穿	東	陰	入	畜	突也犯也抵觸惑也
触	穿	東	陰	入	畜	同上【觸】（突也犯也抵觸惑也）
慉	穿	東	陰	入	畜	亦養也
搐	穿	東	陰	入	畜	宰制也
束	穿	東	陰	入	畜	束縛約束又束脩束帶
矗	穿	東	陰	入	畜	聳上也高起也又直也齊也
谷	見	東	陰	入	谷	兩山中流水之處又養也窮也
穀	見	東	陰	入	谷	米穀又善也
鵠	見	東	陰	入	谷	鳥名
牿	見	東	陰	入	谷	牛馬牢也
梏	見	東	陰	入	谷	手械又亂也
嚳	見	東	陰	入	谷	帝嚳髙辛氏號
告	見	東	陰	入	谷	教也告也
鞠	見	東	陰	入	谷	育也又曲身也
鞫	見	東	陰	入	谷	鞫審斷獄也
掬	見	東	陰	入	谷	兩手捧物曰掬
匊	見	東	陰	入	谷	同上【掬】（兩手捧物曰掬）
菊	見	東	陰	入	谷	菊花
糓	見	東	陰	入	谷	車輻所奏也
鵒	見	東	陰	入	谷	鸚鵒
福	非	東	陰	入	福	祐也德也休也善也祥也百善之名也
輻	非	東	陰	入	福	輻輳
楅	非	東	陰	入	福	以橫木施之牛角使其不抵觸
幅	非	東	陰	入	福	布之一片曰一幅又邊幅
葍	非	東	陰	入	福	惡菜
輹	非	東	陰	入	福	車之承輻者
腹	非	東	陰	入	福	腹心
覆	非	東	陰	入	福	反覆
愎	非	東	陰	入	福	戾也狠也拒諫曰剛愎
馥	非	東	陰	入	福	香氣
蝠	非	東	陰	入	福	蝙蝠即蝠飛鼠
曲	曉	東	陰	入	曲	不直也又曲紅米委曲私曲麥
哭	曉	東	陰	入	曲	哭泣
勗	曉	東	陰	入	曲	勉也
旭	曉	東	陰	入	曲	日初出
頊	曉	東	陰	入	曲	正也顓頊古帝名
速	清	東	陰	入	速	急也迫也
餗	清	東	陰	入	速	鼎實也易覆餗
樕	清	東	陰	入	速	樸樕小木也
蔌	清	東	陰	入	速	果名
簌	清	東	陰	入	速	窶陋也
蹙	清	東	陰	入	速	頻蹙愁貌又迫也
顣	清	東	陰	入	速	同上【蹙】（頻蹙愁貌又迫也）
蹴	清	東	陰	入	速	踐踏也
觫	清	東	陰	入	速	觳觫恐懼貌
遬	清	東	陰	入	速	齊遬
漱	清	東	陰	入	速	水名又音秀
碌	來	東	陰	入	碌	庸碌常品也
麓	來	東	陰	入	碌	山之足也
轆	來	東	陰	入	碌	轆轤井上汲水者
漉	來	東	陰	入	碌	水之滲漏也
簏	來	東	陰	入	碌	竹篋
摝	來	東	陰	入	碌	振也搖也
叔	審	東	陰	入	叔	父之弟
縮	審	東	陰	入	叔	退縮斂縮縮直伸縮
屋	亞	東	陰	入	屋	房屋舍居也
剭	亞	東	陰	入	屋	刑誅也
卜	幫	東	陰	入	卜	卜筮龜卜
忸	泥	東	陰	入	忸	忸怩慚愧
恧	泥	東	陰	入	忸	慙也心愧爲恧
䘐	泥	東	陰	入	忸	刀傷也
足	精	東	陰	入	足	脚也備足完足
禿	透	東	陰	入	禿	無髮之人
欲	以	東	陽	入	欲	愛也願也又私欲
慾	以	東	陽	入	欲	私心也
浴	以	東	陽	入	欲	沐浴滌也
育	以	東	陽	入	欲	生育養育
辱	以	東	陽	入	欲	恥辱污辱
鬻	以	東	陽	入	欲	賣也
木	明	東	陽	入	木	草木
沐	明	東	陽	入	木	濯髮曰沐
霂	明	東	陽	入	木	霡霂小雨也
楘	明	東	陽	入	木	車歷錄束文也詩五楘梁輈
牧	明	東	陽	入	木	養牛羊俱曰牧
穆	明	東	陽	入	木	和敬也深遠也又左昭右穆
睦	明	東	陽	入	木	親睦和睦
繆	明	東	陽	入	木	惡諡也名與實爽曰繆又音謀
目	明	東	陽	入	木	眼目又條件也
苜	明	東	陽	入	木	苜蓿
六	來	東	陽	入	六	數名
陸	來	東	陽	入	六	同上又路也高平曰陸(數名）
綠	來	東	陽	入	六	青黃間色
祿	來	東	陽	入	六	仕者之俸又福祿
錄	來	東	陽	入	六	記也謄也又收錄
醁	來	東	陽	入	六	醽醁美酒也
籙	來	東	陽	入	六	圖籙
菉	來	東	陽	入	六	菉竹菉荳
蓼	來	東	陽	入	六	草長大貌又音料
戮	來	東	陽	入	六	殺勠
穋	來	東	陽	入	六	後種先熟曰穋
僇	來	東	陽	入	六	與戮同
鹿	來	東	陽	入	六	獸名
稑	來	東	陽	入	六	同穋字
淥	來	東	陽	入	六	水清也
騄	來	東	陽	入	六	騄騏駿馬也
肉	日	東	陽	入	肉	骨肉
玉	日	東	陽	入	肉	寶玉
獄	日	東	陽	入	肉	牢獄
褥	日	東	陽	入	肉	裀褥
溽	日	東	陽	入	肉	暑天濕熱
蓐	日	東	陽	入	肉	陳草復生也
縟	日	東	陽	入	肉	繁采又細也
孰	審	東	陽	入	孰	誰也何也
熟	審	東	陽	入	孰	成熟
塾	審	東	陽	入	孰	門側之堂設教之所也
屬	審	東	陽	入	孰	類也親屬附屬統屬
蜀	審	東	陽	入	孰	地名
蠋	審	東	陽	入	孰	桑蟲如蠶
淑	審	東	陽	入	孰	善也始也
妯	審	東	陽	入	孰	妯娌嬸姆曰妯娌
菽	審	東	陽	入	孰	大荳也
服	非	東	陽	入	服	衣服又悅服
復	非	東	陽	入	服	返也報答也重曡也
伏	非	東	陽	入	服	偃也匿也潛也伺也
袱	非	東	陽	入	服	包也
茯	非	東	陽	入	服	茯苓藥名
獨	端	東	陽	入	獨	孤也單也
独	端	東	陽	入	獨	同上【獨】（孤也單也）
韣	端	東	陽	入	獨	弓衣也
凟	端	東	陽	入	獨	褻凟慢辱也
瀆	端	東	陽	入	獨	溝瀆
讀	端	東	陽	入	獨	誦讀
牘	端	東	陽	入	獨	簡牘案牘
犢	端	東	陽	入	獨	牛子
黷	端	東	陽	入	獨	貪墨也又黷武
纛	端	東	陽	入	獨	旗纛
讟	端	東	陽	入	獨	恕謗也
毒	端	東	陽	入	獨	毒藥又害也痛也苦也憎也
匵	端	東	陽	入	獨	匱也
櫝	端	東	陽	入	獨	匣也
瓄	端	東	陽	入	獨	玉器
酷	曉	東	陽	入	酷	貪酷苛也慘刻也
斛	曉	東	陽	入	酷	十斗曰斛
觳	曉	東	陽	入	酷	觳觫恐懼貌
俗	精	東	陽	入	俗	風俗
族	精	東	陽	入	俗	宗族
蔟	精	東	陽	入	俗	聚也又音秀
鏃	精	東	陽	入	俗	箭嘴
鷟	精	東	陽	入	俗	鸑鷟鳥名
續	精	東	陽	入	俗	繼續連續
藚	精	東	陽	入	俗	草名
逐	照	東	陽	入	逐	追逐驅逐斥逐
濁	照	東	陽	入	逐	混濁不清也
蓫	照	東	陽	入	逐	惡菜
躅	照	東	陽	入	逐	蹢躅行貌
軸	照	東	陽	入	逐	車軸又盡也
柚	照	東	陽	入	逐	杼柚布機之受經者
僕	幫	東	陽	入	僕	奴僕又御車也
樸	幫	東	陽	入	僕	樸樕小木也
濮	幫	東	陽	入	僕	地名
暴	幫	東	陽	入	僕	日乾又顯示也
曝	幫	東	陽	入	僕	日晒也
瀑	幫	東	陽	入	僕	瀑布飛浪也
幞	幫	東	陽	入	僕	幞頭冠帽也周武帝所設
襮	幫	東	陽	入	僕	繡黼爲領朝祭之裏衣
局	見	東	陽	入	局	格局又限也
跼	見	東	陽	入	局	踡跼不伸又促也曲也
英	以	英	陰	平	英	才勝千人曰英又英雄英華
瑛	以	英	陰	平	英	玉光也
膺	以	英	陰	平	英	胸也又當也
應	以	英	陰	平	英	當也
嬰	以	英	陰	平	英	嬰孩
攖	以	英	陰	平	英	觸也牽也亂也
櫻	以	英	陰	平	英	櫻桃
纓	以	英	陰	平	英	纓系
鸚	以	英	陰	平	英	鸚鵡能言之鳥
蘡	以	英	陰	平	英	蘡薁草名
鷹	以	英	陰	平	英	麻鷹
瓔	以	英	陰	平	英	石似玉
癭	以	英	陰	平	英	頸瘰也
經	見	英	陰	平	經	常也理也又經緯又聖言曰經
涇	見	英	陰	平	經	涇渭涇濁渭清
京	見	英	陰	平	經	王都也又大也高也
矜	見	英	陰	平	經	矜誇矜憐矜持又敬也
兢	見	英	陰	平	經	兢業戒謹貌又不安也恭也
驚	見	英	陰	平	經	驚動驚駭懼也惶也
荆	見	英	陰	平	經	荊條荊棘又荊楚國名
兄	曉	英	陰	平	兄	長也
輕	曉	英	陰	平	兄	輕微輕賤又輕重
興	曉	英	陰	平	兄	作興興起盛旺也
卿	曉	英	陰	平	兄	公卿
馨	曉	英	陰	平	兄	香之遠聞
精	精	英	陰	平	精	妙也細也純也靈也壯也熟也
睛	精	英	陰	平	精	眼睛
菁	精	英	陰	平	精	草盛也
旌	精	英	陰	平	精	旌旗又旌表
蜻	精	英	陰	平	精	蜻蜓
晶	精	英	陰	平	精	日之光也又水晶
貞	照	英	陰	平	貞	正也潔也清白也又易元亨利貞
偵	照	英	陰	平	貞	伺探也
禎	照	英	陰	平	貞	祥也又善也
楨	照	英	陰	平	貞	楨榦
烝	照	英	陰	平	貞	衆也
蒸	照	英	陰	平	貞	衆也進也又薰蒸又冬祭曰蒸
征	照	英	陰	平	貞	往也取也伐也又正也
徵	照	英	陰	平	貞	証也明也又徵辟
鉦	照	英	陰	平	貞	鐃也
癥	照	英	陰	平	貞	腹内結疾
星	心	英	陰	平	星	星辰星宿
惺	心	英	陰	平	星	惺悟堂惺惺持敬也
猩	心	英	陰	平	星	猩猩能言之獸
腥	心	英	陰	平	星	生肉也又腥膻
騂	心	英	陰	平	星	赤色之牛
升	審	英	陰	平	升	登進也又十合爲升
昇	審	英	陰	平	升	太平也又日光也
陞	審	英	陰	平	升	登也陟也躋也
勝	審	英	陰	平	升	勝任又堪也又盡也
聲	審	英	陰	平	升	聲音名聲
声	審	英	陰	平	升	同上【聲】（聲音名聲）
青	清	英	陰	平	青	東方水色
清	清	英	陰	平	青	清潔清正清廉清白
兵	幫	英	陰	平	兵	兵卒又刀兵劍戟之屬
冰	幫	英	陰	平	兵	冰雪水凍而成冰也
掤	幫	英	陰	平	兵	矢筩蓋
丁	端	英	陰	平	丁	當也又干名又值也又人丁
叮	端	英	陰	平	丁	叮嚀告戒之意
玎	端	英	陰	平	丁	玎璫玉聲
釘	端	英	陰	平	丁	鐵釘
仃	端	英	陰	平	丁	伶仃
稱	穿	英	陰	平	稱	稱揚稱舉稱道
称	穿	英	陰	平	稱	同上【稱】（稱揚稱舉稱道）
秤	穿	英	陰	平	稱	較物輕重
廳	透	英	陰	平	廳	廳堂
聽	透	英	陰	平	廳	聽聞
听	透	英	陰	平	廳	同上【聽】（聽聞）
傾	溪	英	陰	平	傾	傾敗傾側傾瀉傾听傾倒又傾銀
扃	古	英	陰	平	扃	關戶之本又上聲明察也
瑩	云	英	陽	平	瑩	瑩潤
盈	以	英	陽	平	盈	滿也
楹	以	英	陽	平	盈	柱也
形	以	英	陽	平	盈	體也貌也
刑	以	英	陽	平	盈	法也戮也所以罰罪人
型	以	英	陽	平	盈	法則也又鑄金模
鉶	以	英	陽	平	盈	祭器也肉汁之有菜和者以鉶盛之名曰鉶羹
硎	以	英	陽	平	盈	砥石也
蠅	以	英	陽	平	盈	蒼蠅
嬴	以	英	陽	平	盈	勝也又秦姓
瀛	以	英	陽	平	盈	瀛洲
邢	以	英	陽	平	盈	地名又姓
侀	以	英	陽	平	盈	美器成也
榮	以	英	陽	平	盈	顯榮
營	以	英	陽	平	盈	經營作生業曰營生
螢	以	英	陽	平	盈	螢火
熒	以	英	陽	平	盈	燈燭之光又讒言惑聽謂之熒惑
瑩	以	英	陽	平	盈	石似玉者
塋	以	英	陽	平	盈	墳塋
縈	以	英	陽	平	盈	收卷也繞繫也
陘	以	英	陽	平	盈	地名
程	穿	英	陽	平	程	限期也又程式課程路程
裎	穿	英	陽	平	程	裸裎露身也
酲	穿	英	陽	平	程	酒病也
埕	穿	英	陽	平	程	瓦器
呈	穿	英	陽	平	程	申也示也露也
懲	穿	英	陽	平	程	懲治懲戒懲創
瞪	穿	英	陽	平	程	直視也
澄	穿	英	陽	平	程	澄清
明	明	英	陽	平	明	光明光著又曉也
名	明	英	陽	平	明	稱也又功名
冥	明	英	陽	平	明	幽也暗也
溟	明	英	陽	平	明	滄溟水名
蓂	明	英	陽	平	明	蓂瑞草堯時生于庭
鳴	明	英	陽	平	明	鳥獸蟲蟻之聲音曰鳴
螟	明	英	陽	平	明	螟蛉
成	審	英	陽	平	成	成就遂也
誠	審	英	陽	平	成	信也實也
城	審	英	陽	平	成	城郭内曰城外曰郭
晟	審	英	陽	平	成	明也熾也
郕	審	英	陽	平	成	國名
盛	審	英	陽	平	成	容受也裝載也
承	審	英	陽	平	成	下承上也奉承又承受承繼
丞	審	英	陽	平	成	副貳也任也又丞相
乘	審	英	陽	平	成	因也趁也又跨
澠	審	英	陽	平	成	水名
塍	審	英	陽	平	成	田基田畔
繩	審	英	陽	平	成	繩索繩治繩豹又繩不絕也
平	滂	英	陽	平	平	公平均平平止又怡平昇平
評	滂	英	陽	平	平	品評
枰	滂	英	陽	平	平	棋局也
萍	滂	英	陽	平	平	浮萍又清萍劍名
苹	滂	英	陽	平	平	草名詩食野之苹
屏	滂	英	陽	平	平	屏風圍屏
帡	滂	英	陽	平	平	帡幪
胼	滂	英	陽	平	平	胼手胝足
瓶	滂	英	陽	平	平	花瓶
伻	滂	英	陽	平	平	使者
怦	滂	英	陽	平	平	心平曰怦
駢	滂	英	陽	平	平	福祿駢臻
靈	來	英	陽	平	靈	明也又神靈威靈生靈寵靈
霛	來	英	陽	平	靈	古靈字
𨤍	來	英	陽	平	靈	𨤍醁美酒
凌	來	英	陽	平	靈	迫也逼也
陵	來	英	陽	平	靈	大阜曰陵又侵侮也
綾	來	英	陽	平	靈	綾羅
稜	來	英	陽	平	靈	隅也尖角也
鯪	來	英	陽	平	靈	魚名
菱	來	英	陽	平	靈	菱角
聆	來	英	陽	平	靈	聽也
苓	來	英	陽	平	靈	茯苓藥名
零	來	英	陽	平	靈	零落又零碎
囹	來	英	陽	平	靈	囹圄牢獄
伶	來	英	陽	平	靈	伶人樂工也又伶俐
玲	來	英	陽	平	靈	玲瓏玉名
蛉	來	英	陽	平	靈	螟蛉桑木蟲也
鈴	來	英	陽	平	靈	馬鈴
齡	來	英	陽	平	靈	年也
鴒	來	英	陽	平	靈	鶺鴒鳥名
翎	來	英	陽	平	靈	鳥羽也又箭翎
瓴	來	英	陽	平	靈	瓴甋似瓶有耳瓦器也
夌	來	英	陽	平	靈	越也
楞	來	英	陽	平	靈	窻楞四方木也又楞嚴經
淩	來	英	陽	平	靈	水名
輘	來	英	陽	平	靈	車轑
廷	透	英	陽	平	廷	朝廷
庭	透	英	陽	平	廷	家庭門屏之内
蜓	透	英	陽	平	廷	蜻蜓
霆	透	英	陽	平	廷	雷霆
